device,hum_01,hum_02,hygro_01,lux_01,published_at,temp_01,temp_02
SYS01_1,"[98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3207, 3175, 3194, 3235, 3145, 3202, 3175, 3232, 3175, 3278]","[1.07884, 1.08493, 1.09104, 1.08798, 1.08493, 1.08798, 1.09411, 1.09104, 1.09719, 1.0728]",2023-04-26T12:30:03.704Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8, 98.8]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3148, 3197, 3232, 3226, 3163, 3219, 3144, 3163, 3230, 3158]","[1.10028, 1.08798, 1.09104, 1.10028, 1.10648, 1.08798, 1.08493, 1.10648, 1.10338, 1.09411]",2023-04-26T12:45:03.744Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3201, 3178, 3175, 3237, 3176, 3243, 3099, 3180, 3216, 3217]","[1.07582, 1.09411, 1.09104, 1.09719, 1.11585, 1.08493, 1.10028, 1.10338, 1.08798, 1.07884]",2023-04-26T13:00:03.785Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3156, 3224, 3169, 3198, 3141, 3219, 3098, 3160, 3189, 3211]","[1.09411, 1.09719, 1.09719, 1.07582, 1.09719, 1.09411, 1.09719, 1.08798, 1.08493, 1.09719]",2023-04-26T13:15:02.818Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3171, 3124, 3144, 3137, 3211, 3207, 3268, 3218, 3173, 3165]","[1.10028, 1.09719, 1.09719, 1.09104, 1.07582, 1.09104, 1.09104, 1.08188, 1.09104, 1.10028]",2023-04-26T13:30:03.480Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9, 98.9]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3235, 3152, 3195, 3230, 3266, 3202, 3177, 3201, 3236, 3228]","[1.07884, 1.08798, 1.09411, 1.08798, 1.09104, 1.08798, 1.09104, 1.07884, 1.07884, 1.11272]",2023-04-26T13:45:03.162Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3158, 3115, 3111, 3099, 3210, 3133, 3133, 3181, 3132, 3303]","[1.10338, 1.08493, 1.08798, 1.08493, 1.10338, 1.09411, 1.09411, 1.08493, 1.08188, 1.08798]",2023-04-26T14:00:05.202Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[18, 18, 18, 18, 18, 18, 18, 18, 18, 18]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3176, 3230, 3211, 3139, 3247, 3193, 3256, 3141, 3262, 3193]","[1.07884, 1.08493, 1.09411, 1.09104, 1.06678, 1.08188, 1.09411, 1.08188, 1.09104, 1.09104]",2023-04-26T14:15:04.845Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3233, 3226, 3147, 3174, 3183, 3123, 3233, 3175, 3181, 3153]","[1.08188, 1.08798, 1.08493, 1.09411, 1.06678, 1.07582, 1.09104, 1.09104, 1.08188, 1.09104]",2023-04-26T14:30:03.511Z,"[19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1, 19.1]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3136, 3234, 3165, 3240, 3198, 3221, 3161, 3209, 3184, 3222]","[1.09104, 1.08493, 1.1096, 1.07582, 1.09411, 1.08493, 1.09104, 1.10338, 1.08188, 1.09719]",2023-04-26T14:45:03.174Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3209, 3192, 3226, 3194, 3162, 3213, 3220, 3162, 3213, 3159]","[1.09411, 1.0728, 1.08188, 1.09411, 1.09411, 1.07884, 1.10338, 1.08188, 1.09104, 1.08188]",2023-04-26T15:00:04.223Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3226, 3132, 3262, 3236, 3249, 3277, 3174, 3180, 3127, 3211]","[1.08188, 1.07582, 1.09104, 1.08188, 1.10338, 1.08188, 1.08798, 1.09104, 1.08798, 1.10028]",2023-04-26T15:15:04.883Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
SYS01_1,"[99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1, 99.1]","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]","[3159, 3226, 3147, 3174, 3219, 3166, 3201, 3273, 3206, 3237]","[1.09719, 1.08798, 1.07884, 1.07884, 1.09411, 1.08798, 1.08798, 1.10028, 1.09104, 1.07582]",2023-04-26T15:30:03.541Z,"[19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2, 19.2]","[17, 17, 17, 17, 17, 17, 17, 17, 17, 17]"
